year,name,rank,sex
1944,Joseph,13,male
1944,George,14,male
1944,Gary,15,male
1944,Kenneth,16,male
1944,Paul,17,male
1944,Edward,18,male
1944,Jerry,19,male
1944,Dennis,20,male
1945,James,1,male
1945,Robert,2,male
1945,John,3,male
1945,William,4,male
1945,Richard,5,male
1945,David,6,male
1945,Charles,7,male
1945,Thomas,8,male
1945,Michael,9,male
1945,Ronald,10,male
1945,Larry,11,male
1945,Donald,12,male
1945,Gary,13,male
1945,Joseph,14,male
1945,George,15,male
1945,Kenneth,16,male
1945,Paul,17,male
1945,Edward,18,male
1945,Dennis,19,male
1945,Jerry,20,male
1946,James,1,male
1946,Robert,2,male
1946,John,3,male
1946,William,4,male
1946,Richard,5,male
1946,David,6,male
1946,Michael,7,male
1946,Thomas,8,male
1946,Charles,9,male
1946,Ronald,10,male
1946,Larry,11,male
1946,Gary,12,male
1946,Donald,13,male
1946,Joseph,14,male
1946,Kenneth,15,male
1946,George,16,male
1946,Dennis,17,male
1946,Paul,18,male
1946,Edward,19,male
1946,Jerry,20,male
1947,James,1,male
1947,Robert,2,male
1947,John,3,male
1947,William,4,male
1947,Richard,5,male
1947,David,6,male
1947,Michael,7,male
1947,Thomas,8,male
1947,Charles,9,male
1947,Larry,10,male
1947,Ronald,11,male
1947,Gary,12,male
1947,Donald,13,male
1947,Joseph,14,male
1947,Kenneth,15,male
1947,George,16,male
1947,Dennis,17,male
1947,Paul,18,male
1947,Edward,19,male
1947,Jerry,20,male
1948,James,1,male
1948,Robert,2,male
1948,John,3,male
1948,William,4,male
1948,David,5,male
1948,Michael,6,male
1948,Richard,7,male
1948,Thomas,8,male
1948,Charles,9,male
1948,Ronald,10,male
1948,Larry,11,male
1948,Gary,12,male
1948,Joseph,13,male
1948,Donald,14,male
1948,Kenneth,15,male
1948,George,16,male
1948,Dennis,17,male
1948,Paul,18,male
1948,Edward,19,male
1948,Stephen,20,male
1949,James,1,male
1949,Robert,2,male
1949,John,3,male
1949,William,4,male
1949,Michael,5,male
1949,David,6,male
1949,Richard,7,male
1949,Thomas,8,male
1949,Charles,9,male
1949,Larry,10,male
1949,Ronald,11,male
1949,Gary,12,male
1949,Donald,13,male
1949,Joseph,14,male
1949,Kenneth,15,male
1949,Dennis,16,male
1949,Paul,17,male
1949,George,18,male
1949,Stephen,19,male
1949,Steven,20,male
1950,James,1,male
1950,Robert,2,male
1950,John,3,male
1950,Michael,4,male
1950,David,5,male
1950,William,6,male
1950,Richard,7,male
1950,Thomas,8,male
1950,Charles,9,male
1950,Gary,10,male
1950,Larry,11,male
1950,Ronald,12,male
1950,Joseph,13,male
1950,Donald,14,male
1950,Kenneth,15,male
1950,Steven,16,male
1950,Dennis,17,male
1950,Paul,18,male
1950,Stephen,19,male
1950,George,20,male
1951,James,1,male
1951,Robert,2,male
1951,John,3,male
1951,Michael,4,male
1951,David,5,male
1951,William,6,male
1951,Richard,7,male
1951,Thomas,8,male
1951,Charles,9,male
1951,Gary,10,male
1951,Larry,11,male
1951,Ronald,12,male
1951,Steven,13,male
1951,Joseph,14,male
1951,Donald,15,male
1951,Kenneth,16,male
1951,Dennis,17,male
1951,Paul,18,male
1951,Stephen,19,male
1951,Mark,20,male
1952,James,1,male
1952,Robert,2,male
1952,John,3,male
1952,Michael,4,male
1952,David,5,male
1952,William,6,male
1952,Richard,7,male
1952,Thomas,8,male
1952,Charles,9,male
1952,Gary,10,male
1952,Steven,11,male
1952,Joseph,12,male
1952,Donald,13,male
1952,Larry,14,male
1952,Ronald,15,male
1952,Kenneth,16,male
1952,Mark,17,male
1952,Dennis,18,male
1952,Paul,19,male
1952,Daniel,20,male
1953,Robert,1,male
1953,James,2,male
1953,Michael,3,male
1953,John,4,male
1953,David,5,male
1953,William,6,male
1953,Richard,7,male
1953,Thomas,8,male
1953,Charles,9,male
1953,Gary,10,male
1953,Steven,11,male
1953,Mark,12,male
1953,Joseph,13,male
1953,Donald,14,male
1953,Ronald,15,male
1953,Kenneth,16,male
1953,Paul,17,male
1953,Larry,18,male
1953,Dennis,19,male
1953,Daniel,20,male
1954,Michael,1,male
1954,Robert,2,male
1954,James,3,male
1954,John,4,male
1954,David,5,male
1954,William,6,male
1954,Richard,7,male
1954,Thomas,8,male
1954,Gary,9,male
1954,Charles,10,male
1954,Steven,11,male
1954,Mark,12,male
1954,Joseph,13,male
1954,Donald,14,male
1954,Ronald,15,male
1954,Paul,16,male
1954,Kenneth,17,male
1954,Daniel,18,male
1954,Larry,19,male
1954,Stephen,20,male
1955,Michael,1,male
1955,David,2,male
1955,James,3,male
1955,Robert,4,male
1955,John,5,male
1955,William,6,male
1955,Richard,7,male
1955,Thomas,8,male
1955,Mark,9,male
1955,Steven,10,male
1955,Charles,11,male
1955,Gary,12,male
1955,Joseph,13,male
1955,Donald,14,male
1955,Kenneth,15,male
1955,Paul,16,male
1955,Daniel,17,male
1955,Ronald,18,male
1955,Larry,19,male
1955,Jeffrey,20,male
1956,Michael,1,male
1956,James,2,male
1956,Robert,3,male
1956,David,4,male
1956,John,5,male
1956,William,6,male
1956,Richard,7,male
1956,Mark,8,male
1956,Thomas,9,male
1956,Steven,10,male
1956,Charles,11,male
1956,Joseph,12,male
1956,Gary,13,male
1956,Donald,14,male
1956,Ronald,15,male
1956,Kenneth,16,male
1956,Paul,17,male
1956,Daniel,18,male
1956,Timothy,19,male
1956,Jeffrey,20,male
1957,Michael,1,male
1957,James,2,male
1957,David,3,male
1957,Robert,4,male
1957,John,5,male
1957,William,6,male
1957,Mark,7,male
1957,Richard,8,male
1957,Thomas,9,male
1957,Steven,10,male
1957,Charles,11,male
1957,Joseph,12,male
1957,Gary,13,male
1957,Kenneth,14,male
1957,Donald,15,male
1957,Daniel,16,male
1957,Ronald,17,male
1957,Paul,18,male
1957,Timothy,19,male
1957,Kevin,20,male
1958,Michael,1,male
1958,David,2,male
1958,James,3,male
1958,Robert,4,male
1958,John,5,male
1958,William,6,male
1958,Mark,7,male
1958,Richard,8,male
1958,Thomas,9,male
1958,Steven,10,male
1958,Charles,11,male
1958,Joseph,12,male
1958,Timothy,13,male
1958,Kenneth,14,male
1958,Paul,15,male
1958,Daniel,16,male
1958,Gary,17,male
1958,Donald,18,male
1958,Ronald,19,male
1958,Kevin,20,male
1959,Michael,1,male
1959,David,2,male
1959,James,3,male
1959,John,4,male
1959,Robert,5,male
1959,Mark,6,male
1959,William,7,male
1959,Richard,8,male
1959,Thomas,9,male
1959,Steven,10,male
1959,Charles,11,male
1959,Timothy,12,male
1959,Joseph,13,male
1959,Kevin,14,male
1959,Kenneth,15,male
1959,Jeffrey,16,male
1959,Paul,17,male
1959,Daniel,18,male
1959,Donald,19,male
1959,Gary,20,male
1960,David,1,male
1960,Michael,2,male
1960,James,3,male
1960,John,4,male
1960,Robert,5,male
1960,Mark,6,male
1960,William,7,male
1960,Richard,8,male
1960,Thomas,9,male
1960,Steven,10,male
1960,Timothy,11,male
1960,Joseph,12,male
1960,Charles,13,male
1960,Jeffrey,14,male
1960,Kevin,15,male
1960,Kenneth,16,male
1960,Daniel,17,male
1960,Paul,18,male
1960,Donald,19,male
1960,Brian,20,male
1961,Michael,1,male
1961,David,2,male
1961,John,3,male
1961,James,4,male
1961,Robert,5,male
1961,Mark,6,male
1961,William,7,male
1961,Richard,8,male
1961,Thomas,9,male
1961,Steven,10,male
1961,Jeffrey,11,male
1961,Joseph,12,male
1961,Charles,13,male
1961,Kevin,14,male
1961,Timothy,15,male
1961,Kenneth,16,male
1961,Daniel,17,male
1961,Paul,18,male
1961,Scott,19,male
1961,Brian,20,male
1962,Michael,1,male
1962,David,2,male
1962,John,3,male
1962,James,4,male
1962,Robert,5,male
1962,Mark,6,male
1962,William,7,male
1962,Richard,8,male
1962,Thomas,9,male
1962,Jeffrey,10,male
1962,Scott,11,male
1962,Steven,12,male
1962,Joseph,13,male
1962,Kevin,14,male
1962,Charles,15,male
1962,Timothy,16,male
1962,Daniel,17,male
1962,Kenneth,18,male
1962,Paul,19,male
1962,Brian,20,male
1963,Michael,1,male
1963,John,2,male
1963,David,3,male
1963,James,4,male
1963,Robert,5,male
1963,Mark,6,male
1963,William,7,male
1963,Richard,8,male
1963,Thomas,9,male
1963,Jeffrey,10,male
1963,Kevin,11,male
1963,Scott,12,male
1963,Joseph,13,male
1963,Steven,14,male
1963,Timothy,15,male
1963,Charles,16,male
1963,Paul,17,male
1963,Kenneth,18,male
1963,Daniel,19,male
1963,Brian,20,male
1964,Michael,1,male
1964,John,2,male
1964,David,3,male
1964,James,4,male
1964,Robert,5,male
1964,Mark,6,male
1964,William,7,male
1964,Richard,8,male
1964,Thomas,9,male
1964,Jeffrey,10,male
1964,Joseph,11,male
1964,Steven,12,male
1964,Kevin,13,male
1964,Scott,14,male
1964,Timothy,15,male
1964,Paul,16,male
1964,Charles,17,male
1964,Kenneth,18,male
1964,Daniel,19,male
1964,Brian,20,male
1965,Michael,1,male
1965,John,2,male
1965,David,3,male
1965,James,4,male
1965,Robert,5,male
1965,William,6,male
1965,Mark,7,male
1965,Richard,8,male
1965,Thomas,9,male
1965,Jeffrey,10,male
1965,Joseph,11,male
1965,Timothy,12,male
1965,Kevin,13,male
1965,Steven,14,male
1965,Scott,15,male
1965,Paul,16,male
1965,Daniel,17,male
1965,Christopher,18,male
1965,Brian,19,male
1965,Charles,20,male
1966,Michael,1,male
1966,David,2,male
1966,James,3,male
1966,John,4,male
1966,Robert,5,male
1966,William,6,male
1966,Mark,7,male
1966,Richard,8,male
1966,Jeffrey,9,male
1966,Thomas,10,male
1966,Timothy,11,male
1966,Christopher,12,male
1966,Steven,13,male
1966,Brian,14,male
1966,Joseph,15,male
1966,Scott,16,male
1966,Kevin,17,male
1966,Paul,18,male
1966,Daniel,19,male
1966,Charles,20,male
1967,Michael,1,male
1967,David,2,male
1967,James,3,male
1967,John,4,male
1967,Robert,5,male
1967,William,6,male
1967,Mark,7,male
1967,Richard,8,male
1967,Christopher,9,male
1967,Brian,10,male
1967,Timothy,11,male
1967,Thomas,12,male
1967,Jeffrey,13,male
1967,Steven,14,male
1967,Joseph,15,male
1967,Scott,16,male
1967,Kevin,17,male
1967,Paul,18,male
1967,Daniel,19,male
1967,Charles,20,male
1968,Michael,1,male
1968,David,2,male
1968,John,3,male
1968,James,4,male
1968,Robert,5,male
1968,William,6,male
1968,Mark,7,male
1968,Richard,8,male
1968,Christopher,9,male
1968,Brian,10,male
1968,Jeffrey,11,male
1968,Thomas,12,male
1968,Timothy,13,male
1968,Scott,14,male
1968,Steven,15,male
1968,Joseph,16,male
1968,Kevin,17,male
1968,Daniel,18,male
1968,Paul,19,male
1968,Charles,20,male
1969,Michael,1,male
1969,David,2,male
1969,James,3,male
1969,John,4,male
1969,Robert,5,male
1969,William,6,male
1969,Christopher,7,male
1969,Mark,8,male
1969,Brian,9,male
1969,Richard,10,male
1969,Jeffrey,11,male
1969,Scott,12,male
1969,Thomas,13,male
1969,Steven,14,male
1969,Joseph,15,male
1969,Kevin,16,male
1969,Timothy,17,male
1969,Daniel,18,male
1969,Charles,19,male
1969,Anthony,20,male
1970,Michael,1,male
1970,David,2,male
1970,James,3,male
1970,John,4,male
1970,Robert,5,male
1970,Christopher,6,male
1970,William,7,male
1970,Brian,8,male
1970,Mark,9,male
1970,Richard,10,male
1970,Jeffrey,11,male
1970,Scott,12,male
1970,Jason,13,male
1970,Kevin,14,male
1970,Steven,15,male
1970,Joseph,16,male
1970,Thomas,17,male
1970,Eric,18,male
1970,Daniel,19,male
1970,Timothy,20,male
1971,Michael,1,male
1971,James,2,male
1971,David,3,male
1971,John,4,male
1971,Robert,5,male
1971,Christopher,6,male
1971,William,7,male
1971,Jason,8,male
1971,Brian,9,male
1971,Scott,10,male
1971,Richard,11,male
1971,Jeffrey,12,male
1971,Mark,13,male
1971,Kevin,14,male
1971,Joseph,15,male
1971,Steven,16,male
1971,Thomas,17,male
1971,Eric,18,male
1971,Matthew,19,male
1971,Daniel,20,male
1972,Michael,1,male
1972,Christopher,2,male
1972,James,3,male
1972,David,4,male
1972,John,5,male
1972,Robert,6,male
1972,Jason,7,male
1972,Brian,8,male
1972,William,9,male
1972,Matthew,10,male
1972,Scott,11,male
1972,Joseph,12,male
1972,Kevin,13,male
1972,Richard,14,male
1972,Daniel,15,male
1972,Eric,16,male
1972,Jeffrey,17,male
1972,Mark,18,male
1972,Steven,19,male
1972,Thomas,20,male
1973,Michael,1,male
1973,Christopher,2,male
1973,Jason,3,male
1973,James,4,male
1973,David,5,male
1973,John,6,male
1973,Robert,7,male
1973,Brian,8,male
1973,William,9,male
1973,Matthew,10,male
1973,Daniel,11,male
1973,Joseph,12,male
1973,Eric,13,male
1973,Kevin,14,male
1973,Mark,15,male
1973,Richard,16,male
1973,Jeffrey,17,male
1973,Scott,18,male
1973,Thomas,19,male
1973,Steven,20,male
1974,Michael,1,male
1974,Jason,2,male
1974,Christopher,3,male
1974,David,4,male
1974,James,5,male
1974,John,6,male
1974,Robert,7,male
1974,Brian,8,male
1974,Matthew,9,male
1974,William,10,male
1974,Daniel,11,male
1974,Joseph,12,male
1974,Eric,13,male
1974,Kevin,14,male
1974,Jeffrey,15,male
1974,Mark,16,male
1974,Richard,17,male
1974,Scott,18,male
1974,Steven,19,male
1974,Thomas,20,male
1975,Michael,1,male
1975,Jason,2,male
1975,Christopher,3,male
1975,James,4,male
1975,David,5,male
1975,Robert,6,male
1975,John,7,male
1975,Brian,8,male
1975,Matthew,9,male
1975,William,10,male
1975,Daniel,11,male
1975,Joseph,12,male
1975,Eric,13,male
1975,Jeffrey,14,male
1975,Kevin,15,male
1975,Richard,16,male
1975,Scott,17,male
1975,Steven,18,male
1975,Mark,19,male
1975,Thomas,20,male
1976,Michael,1,male
1976,Jason,2,male
1976,Christopher,3,male
1976,David,4,male
1976,James,5,male
1976,John,6,male
1976,Robert,7,male
1976,Brian,8,male
1976,Matthew,9,male
1976,Daniel,10,male
1976,William,11,male
1976,Joseph,12,male
1976,Eric,13,male
1976,Jeremy,14,male
1976,Kevin,15,male
1976,Ryan,16,male
1976,Jeffrey,17,male
1976,Joshua,18,male
1976,Richard,19,male
1976,Steven,20,male
1977,Michael,1,male
1977,Jason,2,male
1977,Christopher,3,male
1977,David,4,male
1977,James,5,male
1977,John,6,male
1977,Robert,7,male
1977,Brian,8,male
1977,Matthew,9,male
1977,Joseph,10,male
1977,Daniel,11,male
1977,William,12,male
1977,Kevin,13,male
1977,Joshua,14,male
1977,Jeremy,15,male
1977,Ryan,16,male
1977,Eric,17,male
1977,Timothy,18,male
1977,Jeffrey,19,male
1977,Richard,20,male
1978,Michael,1,male
1978,Jason,2,male
1978,Christopher,3,male
1978,David,4,male
1978,James,5,male
1978,Matthew,6,male
1978,John,7,male
1978,Robert,8,male
1978,Brian,9,male
1978,Joseph,10,male
1978,Daniel,11,male
1978,Joshua,12,male
1978,William,13,male
1978,Ryan,14,male
1978,Kevin,15,male
1978,Eric,16,male
1978,Timothy,17,male
1978,Jeremy,18,male
1978,Jeffrey,19,male
1978,Anthony,20,male
1979,Michael,1,male
1979,Christopher,2,male
1979,Jason,3,male
1979,David,4,male
1979,James,5,male
1979,Matthew,6,male
1979,John,7,male
1979,Robert,8,male
1979,Joshua,9,male
1979,Brian,10,male
1979,Joseph,11,male
1979,Daniel,12,male
1979,William,13,male
1979,Ryan,14,male
1979,Nicholas,15,male
1979,Jeremy,16,male
1979,Eric,17,male
1979,Timothy,18,male
1979,Kevin,19,male
1979,Andrew,20,male
1980,Michael,1,male
1980,Christopher,2,male
1980,Jason,3,male
1980,David,4,male
1980,James,5,male
1980,Matthew,6,male
1980,Joshua,7,male
1980,John,8,male
1980,Robert,9,male
1980,Joseph,10,male
1980,Daniel,11,male
1980,Brian,12,male
1980,Justin,13,male
1980,William,14,male
1980,Ryan,15,male
1980,Eric,16,male
1980,Nicholas,17,male
1980,Jeremy,18,male
1980,Andrew,19,male
1980,Timothy,20,male
1981,Michael,1,male
1981,Christopher,2,male
1981,Matthew,3,male
1981,Jason,4,male
1981,David,5,male
1981,Joshua,6,male
1981,James,7,male
1981,John,8,male
1981,Robert,9,male
1981,Daniel,10,male
1981,Joseph,11,male
1981,Justin,12,male
1981,Ryan,13,male
1981,Brian,14,male
1981,William,15,male
1981,Jonathan,16,male
1981,Eric,17,male
1981,Andrew,18,male
1981,Brandon,19,male
1981,Adam,20,male
1982,Michael,1,male
1982,Christopher,2,male
1982,Matthew,3,male
1982,Jason,4,male
1982,David,5,male
1982,James,6,male
1982,Joshua,7,male
1982,John,8,male
1982,Robert,9,male
1982,Daniel,10,male
1982,Joseph,11,male
1982,Justin,12,male
1982,Ryan,13,male
1982,Brian,14,male
1982,William,15,male
1982,Jonathan,16,male
1982,Andrew,17,male
1982,Brandon,18,male
1982,Adam,19,male
1982,Eric,20,male
1983,Michael,1,male
1983,Christopher,2,male
1983,Matthew,3,male
1983,David,4,male
1983,Joshua,5,male
1983,James,6,male
1983,Jason,7,male
1983,Daniel,8,male
1983,John,9,male
1983,Robert,10,male
1983,Joseph,11,male
1983,Justin,12,male
1983,Ryan,13,male
1983,Brian,14,male
1983,Andrew,15,male
1983,William,16,male
1983,Brandon,17,male
1983,Adam,18,male
1983,Jonathan,19,male
1983,Eric,20,male
1984,Michael,1,male
1984,Christopher,2,male
1984,Matthew,3,male
1984,Joshua,4,male
1984,David,5,male
1984,Daniel,6,male
1984,James,7,male
1984,John,8,male
1984,Robert,9,male
1984,Joseph,10,male
1984,Jason,11,male
1984,Ryan,12,male
1984,Justin,13,male
1984,Andrew,14,male
1984,Brandon,15,male
1984,William,16,male
1984,Brian,17,male
1984,Adam,18,male
1984,Jonathan,19,male
1984,Nicholas,20,male
1985,Michael,1,male
1985,Christopher,2,male
1985,Matthew,3,male
1985,Joshua,4,male
1985,Daniel,5,male
1985,David,6,male
1985,James,7,male
1985,Robert,8,male
1985,John,9,male
1985,Joseph,10,male
1985,Andrew,11,male
1985,Ryan,12,male
1985,Brandon,13,male
1985,Jason,14,male
1985,Justin,15,male
1985,William,16,male
1985,Jonathan,17,male
1985,Brian,18,male
1985,Nicholas,19,male
1985,Anthony,20,male
1986,Michael,1,male
1986,Christopher,2,male
1986,Matthew,3,male
1986,Joshua,4,male
1986,David,5,male
1986,Daniel,6,male
1986,James,7,male
1986,Andrew,8,male
1986,Robert,9,male
1986,John,10,male
1986,Ryan,11,male
1986,Joseph,12,male
1986,Brandon,13,male
1986,Justin,14,male
1986,William,15,male
1986,Jonathan,16,male
1986,Nicholas,17,male
1986,Jason,18,male
1986,Anthony,19,male
1986,Brian,20,male
1987,Michael,1,male
1987,Christopher,2,male
1987,Matthew,3,male
1987,Joshua,4,male
1987,David,5,male
1987,Andrew,6,male
1987,Daniel,7,male
1987,James,8,male
1987,Justin,9,male
1987,Robert,10,male
1987,John,11,male
1987,Joseph,12,male
1987,Ryan,13,male
1987,Brandon,14,male
1987,William,15,male
1987,Nicholas,16,male
1987,Anthony,17,male
1987,Jonathan,18,male
1987,Kevin,19,male
1987,Brian,20,male
1988,Michael,1,male
1988,Christopher,2,male
1988,Matthew,3,male
1988,Joshua,4,male
1988,Andrew,5,male
1988,David,6,male
1988,Justin,7,male
1988,Daniel,8,male
1988,James,9,male
1988,Robert,10,male
1988,John,11,male
1988,Joseph,12,male
1988,Ryan,13,male
1988,Nicholas,14,male
1988,Jonathan,15,male
1988,William,16,male
1988,Brandon,17,male
1988,Anthony,18,male
1988,Kevin,19,male
1988,Eric,20,male
1989,Michael,1,male
1989,Christopher,2,male
1989,Matthew,3,male
1989,Joshua,4,male
1989,David,5,male
1989,Daniel,6,male
1989,Andrew,7,male
1989,Justin,8,male
1989,James,9,male
1989,Robert,10,male
1989,Joseph,11,male
1989,John,12,male
1989,Ryan,13,male
1989,Nicholas,14,male
1989,William,15,male
1989,Anthony,16,male
1989,Jonathan,17,male
1989,Brandon,18,male
1989,Kevin,19,male
1989,Kyle,20,male
1990,Michael,1,male
1990,Christopher,2,male
1990,Matthew,3,male
1990,Joshua,4,male
1990,Daniel,5,male
1990,David,6,male
1990,Andrew,7,male
1990,James,8,male
1990,Justin,9,male
1990,Joseph,10,male
1990,Ryan,11,male
1990,John,12,male
1990,Robert,13,male
1990,Nicholas,14,male
1990,Anthony,15,male
1990,William,16,male
1990,Jonathan,17,male
1990,Kyle,18,male
1990,Brandon,19,male
1990,Jacob,20,male
1991,Michael,1,male
1991,Christopher,2,male
1991,Matthew,3,male
1991,Joshua,4,male
1991,Andrew,5,male
1991,Daniel,6,male
1991,James,7,male
1991,David,8,male
1991,Joseph,9,male
1991,John,10,male
1991,Ryan,11,male
1991,Nicholas,12,male
1991,Robert,13,male
1991,Justin,14,male
1991,Brandon,15,male
1991,Tyler,16,male
1991,Jacob,17,male
1991,Anthony,18,male
1991,William,19,male
1991,Jonathan,20,male
1992,Michael,1,male
1992,Christopher,2,male
1992,Matthew,3,male
1992,Joshua,4,male
1992,Andrew,5,male
1992,Brandon,6,male
1992,Daniel,7,male
1992,Tyler,8,male
1992,James,9,male
1992,David,10,male
1992,Joseph,11,male
1992,Nicholas,12,male
1992,Ryan,13,male
1992,John,14,male
1992,Jacob,15,male
1992,Zachary,16,male
1992,Robert,17,male
1992,Justin,18,male
1992,Anthony,19,male
1992,William,20,male
1993,Michael,1,male
1993,Christopher,2,male
1993,Matthew,3,male
1993,Joshua,4,male
1993,Tyler,5,male
1993,Brandon,6,male
1993,Daniel,7,male
1993,Nicholas,8,male
1993,Jacob,9,male
1993,Andrew,10,male
1993,David,11,male
1993,Joseph,12,male
1993,Ryan,13,male
1993,James,14,male
1993,Zachary,15,male
1993,John,16,male
1993,Robert,17,male
1993,William,18,male
1993,Anthony,19,male
1993,Justin,20,male
1994,Michael,1,male
1994,Christopher,2,male
1994,Matthew,3,male
1994,Joshua,4,male
1994,Tyler,5,male
1994,Brandon,6,male
1994,Jacob,7,male
1994,Daniel,8,male
1994,Nicholas,9,male
1994,Andrew,10,male
1994,Joseph,11,male
1994,Zachary,12,male
1994,David,13,male
1994,James,14,male
1994,John,15,male
1994,Ryan,16,male
1994,Austin,17,male
1994,Anthony,18,male
1994,William,19,male
1994,Justin,20,male
1995,Michael,1,male
1995,Matthew,2,male
1995,Christopher,3,male
1995,Jacob,4,male
1995,Joshua,5,male
1995,Nicholas,6,male
1995,Tyler,7,male
1995,Brandon,8,male
1995,Daniel,9,male
1995,Austin,10,male
1995,Andrew,11,male
1995,Joseph,12,male
1995,John,13,male
1995,Zachary,14,male
1995,Ryan,15,male
1995,David,16,male
1995,James,17,male
1995,Justin,18,male
1995,Anthony,19,male
1995,William,20,male
1996,Michael,1,male
1996,Matthew,2,male
1996,Jacob,3,male
1996,Christopher,4,male
1996,Joshua,5,male
1996,Nicholas,6,male
1996,Tyler,7,male
1996,Brandon,8,male
1996,Austin,9,male
1996,Andrew,10,male
1996,Daniel,11,male
1996,Joseph,12,male
1996,David,13,male
1996,Zachary,14,male
1996,John,15,male
1996,Ryan,16,male
1996,James,17,male
1996,William,18,male
1996,Anthony,19,male
1996,Justin,20,male
1997,Michael,1,male
1997,Jacob,2,male
1997,Matthew,3,male
1997,Christopher,4,male
1997,Joshua,5,male
1997,Nicholas,6,male
1997,Andrew,7,male
1997,Brandon,8,male
1997,Austin,9,male
1997,Tyler,10,male
1997,Daniel,11,male
1997,Joseph,12,male
1997,Zachary,13,male
1997,David,14,male
1997,John,15,male
1997,Ryan,16,male
1997,James,17,male
1997,Anthony,18,male
1997,William,19,male
1997,Justin,20,male
1998,Michael,1,male
1998,Jacob,2,male
1998,Matthew,3,male
1998,Joshua,4,male
1998,Christopher,5,male
1998,Nicholas,6,male
1998,Brandon,7,male
1998,Tyler,8,male
1998,Andrew,9,male
1998,Austin,10,male
1998,Joseph,11,male
1998,Daniel,12,male
1998,David,13,male
1998,William,14,male
1998,John,15,male
1998,Zachary,16,male
1998,Ryan,17,male
1998,James,18,male
1998,Anthony,19,male
1998,Justin,20,male
1999,Jacob,1,male
1999,Michael,2,male
1999,Matthew,3,male
1999,Joshua,4,male
1999,Nicholas,5,male
1999,Christopher,6,male
1999,Andrew,7,male
1999,Joseph,8,male
1999,Daniel,9,male
1999,Tyler,10,male
1999,Brandon,11,male
1999,Ryan,12,male
1999,Austin,13,male
1999,William,14,male
1999,John,15,male
1999,David,16,male
1999,Zachary,17,male
1999,Anthony,18,male
1999,James,19,male
1999,Justin,20,male
2000,Jacob,1,male
2000,Michael,2,male
2000,Matthew,3,male
2000,Joshua,4,male
2000,Christopher,5,male
2000,Nicholas,6,male
2000,Andrew,7,male
2000,Joseph,8,male
2000,Daniel,9,male
2000,Tyler,10,male
2000,William,11,male
2000,Brandon,12,male
2000,Ryan,13,male
2000,John,14,male
2000,Zachary,15,male
2000,David,16,male
2000,Anthony,17,male
2000,James,18,male
2000,Justin,19,male
2000,Alexander,20,male
2001,Jacob,1,male
2001,Michael,2,male
2001,Matthew,3,male
2001,Joshua,4,male
2001,Christopher,5,male
2001,Nicholas,6,male
2001,Andrew,7,male
2001,Joseph,8,male
2001,Daniel,9,male
2001,William,10,male
2001,Anthony,11,male
2001,David,12,male
2001,Tyler,13,male
2001,John,14,male
2001,Ryan,15,male
2001,Zachary,16,male
2001,Ethan,17,male
2001,Brandon,18,male
2001,James,19,male
2001,Alexander,20,male
2002,Jacob,1,male
2002,Michael,2,male
2002,Joshua,3,male
2002,Matthew,4,male
2002,Ethan,5,male
2002,Andrew,6,male
2002,Joseph,7,male
2002,Christopher,8,male
2002,Nicholas,9,male
2002,Daniel,10,male
2002,William,11,male
2002,Anthony,12,male
2002,David,13,male
2002,Tyler,14,male
2002,Alexander,15,male
2002,Ryan,16,male
2002,John,17,male
2002,James,18,male
2002,Zachary,19,male
2002,Brandon,20,male
2003,Jacob,1,male
2003,Michael,2,male
2003,Joshua,3,male
2003,Matthew,4,male
2003,Andrew,5,male
2003,Joseph,6,male
2003,Ethan,7,male
2003,Daniel,8,male
2003,Christopher,9,male
2003,Anthony,10,male
2003,William,11,male
2003,Nicholas,12,male
2003,Ryan,13,male
2003,David,14,male
2003,Tyler,15,male
2003,Alexander,16,male
2003,John,17,male
2003,James,18,male
2003,Dylan,19,male
2003,Zachary,20,male
2004,Jacob,1,male
2004,Michael,2,male
2004,Joshua,3,male
2004,Matthew,4,male
2004,Ethan,5,male
2004,Andrew,6,male
2004,Daniel,7,male
2004,William,8,male
2004,Joseph,9,male
2004,Christopher,10,male
2004,Anthony,11,male
2004,Ryan,12,male
2004,Nicholas,13,male
2004,David,14,male
2004,Alexander,15,male
2004,Tyler,16,male
2004,James,17,male
2004,John,18,male
2004,Dylan,19,male
2004,Nathan,20,male
2005,Jacob,1,male
2005,Michael,2,male
2005,Joshua,3,male
2005,Matthew,4,male
2005,Ethan,5,male
2005,Andrew,6,male
2005,Daniel,7,male
2005,Anthony,8,male
2005,Joseph,9,male
2005,Christopher,10,male
2005,William,11,male
2005,Alexander,12,male
2005,David,13,male
2005,Ryan,14,male
2005,Nicholas,15,male
2005,Tyler,16,male
2005,James,17,male
2005,John,18,male
2005,Jonathan,19,male
2005,Nathan,20,male
2006,Jacob,1,male
2006,Michael,2,male
2006,Joshua,3,male
2006,Ethan,4,male
2006,Matthew,5,male
2006,Daniel,6,male
2006,Andrew,7,male
2006,Christopher,8,male
2006,Anthony,9,male
2006,William,10,male
2006,Joseph,11,male
2006,Alexander,12,male
2006,David,13,male
2006,Ryan,14,male
2006,Noah,15,male
2006,James,16,male
2006,Nicholas,17,male
2006,Tyler,18,male
2006,John,19,male
2006,Logan,20,male
2007,Jacob,1,male
2007,Michael,2,male
2007,Ethan,3,male
2007,Joshua,4,male
2007,Daniel,5,male
2007,Christopher,6,male
